Year;Quarter;unadjusted;X13 JDemetra+  seasonally adjusted;BV4.1 seasonally adjusted
2003;Quarter 1;343.831;342.965;341.399
2003;Quarter 2;335.665;340.397;341.851
2003;Quarter 3;340.186;343.637;343.622
2003;Quarter 4;349.665;342.348;343.139
2004;Quarter 1;349.562;348.477;347.015
2004;Quarter 2;342.839;347.361;348.008
2004;Quarter 3;344.483;347.842;348.395
2004;Quarter 4;358.199;351.404;351.003
2005;Quarter 1;351.894;350.561;350.625
2005;Quarter 2;348.809;353.052;353.392
2005;Quarter 3;351.457;354.558;355.649
2005;Quarter 4;364.534;358.522;356.448
2006;Quarter 1;359.844;358.420;359.193
2006;Quarter 2;356.752;360.719;361.270
2006;Quarter 3;358.294;361.252;362.606
2006;Quarter 4;374.276;368.775;366.346
2007;Quarter 1;366.573;364.887;366.076
2007;Quarter 2;362.185;365.849;365.967
2007;Quarter 3;364.819;367.614;367.963
2007;Quarter 4;377.925;373.152;372.668
2008;Quarter 1;375.760;373.851;375.196
2008;Quarter 2;376.169;379.528;378.418
2008;Quarter 3;377.106;379.757;378.824
2008;Quarter 4;375.552;371.452;373.387
2009;Quarter 1;375.115;372.844;373.626
2009;Quarter 2;370.763;373.873;372.500
2009;Quarter 3;369.450;372.041;371.359
2009;Quarter 4;375.599;372.170;373.517
2010;Quarter 1;378.471;375.931;376.297
2010;Quarter 2;376.346;379.479;378.892
2010;Quarter 3;380.607;383.099;382.995
2010;Quarter 4;390.142;387.057;387.343
2011;Quarter 1;391.379;388.873;388.527
2011;Quarter 2;390.022;393.152;393.470
2011;Quarter 3;394.497;396.641;396.782
2011;Quarter 4;401.732;398.963;399.193
2012;Quarter 1;407.524;405.100;404.150
2012;Quarter 2;398.352;401.633;402.083
2012;Quarter 3;401.045;402.773;402.659
2012;Quarter 4;407.029;404.443;404.966
2013;Quarter 1;407.167;404.316;404.571
2013;Quarter 2;405.736;409.322;409.201
2013;Quarter 3;410.763;412.335;411.204
2013;Quarter 4;413.297;410.991;411.616
2014;Quarter 1;417.588;414.346;415.663
2014;Quarter 2;413.799;417.756;417.309
2014;Quarter 3;420.773;422.279;420.945
2014;Quarter 4;425.876;423.656;424.048
2015;Quarter 1;427.597;423.799;425.451
2015;Quarter 2;425.834;430.238;429.268
2015;Quarter 3;432.098;433.723;433.183
2015;Quarter 4;439.004;436.773;437.281
2016;Quarter 1;443.950;439.675;440.331
2016;Quarter 2;441.816;446.611;445.446
2016;Quarter 3;446.013;447.826;448.222
2016;Quarter 4;453.106;450.773;452.314
2017;Quarter 1;462.184;457.511;455.819
2017;Quarter 2;453.549;458.827;458.037
2017;Quarter 3;460.622;462.506;463.730
2017;Quarter 4;468.103;465.614;467.329
2018;Quarter 1;482.931;477.931;475.722
2018;Quarter 2;473.613;479.285;478.789
2018;Quarter 3;477.044;478.980;480.275
2018;Quarter 4;486.693;484.084;483.728
2019;Quarter 1;491.033;485.813;486.347
2019;Quarter 2;484.041;490.146;490.162
2019;Quarter 3;490.741;492.475;491.661
2019;Quarter 4;495.368;492.749;490.465
2020;Quarter 1;505.461;499.941;504.388
2020;Quarter 2;482.206;488.214;489.862
2020;Quarter 3;497.634;499.267;494.293
2020;Quarter 4;501.669;499.549;497.314
2021;Quarter 1;508.242;502.447;508.706
2021;Quarter 2;502.576;509.349;510.814
2021;Quarter 3;506.155;507.467;501.102
2021;Quarter 4;518.580;516.290;515.550
2022;Quarter 1;527.323;523.047;527.095
2022;Quarter 2;528.733;535.752;535.665
2022;Quarter 3;550.335;550.536;547.089
2022;Quarter 4;558.076;555.133;555.346
2023;Quarter 1;565.004;561.934;564.129
2023;Quarter 2;567.442;574.682;573.361
2023;Quarter 3;576.427;576.023;574.781
