;;Unadjusted values;X13 JDemetra+  trend;BV4.1 trend
1991;January;-;5,2;5,2
1991;February;-;5,2;5,2
1991;March;-;5,3;5,3
1991;April;-;5,3;5,3
1991;May;-;5,3;5,4
1991;June;-;5,4;5,5
1991;July;-;5,5;5,5
1991;August;-;5,6;5,6
1991;September;-;5,7;5,7
1991;October;-;5,8;5,8
1991;November;-;5,9;5,8
1991;December;-;6;5,9
1992;January;-;6;6
1992;February;-;6,1;6,1
1992;March;-;6,2;6,2
1992;April;-;6,3;6,3
1992;May;-;6,4;6,4
1992;June;-;6,5;6,5
1992;July;-;6,6;6,6
1992;August;-;6,8;6,7
1992;September;-;6,9;6,8
1992;October;-;7;6,9
1992;November;-;7,1;7,1
1992;December;-;7,2;7,2
1993;January;-;7,3;7,3
1993;February;-;7,4;7,4
1993;March;-;7,5;7,5
1993;April;-;7,5;7,6
1993;May;-;7,6;7,7
1993;June;-;7,7;7,7
1993;July;-;7,8;7,8
1993;August;-;7,9;7,9
1993;September;-;8;8
1993;October;-;8,1;8,1
1993;November;-;8,2;8,2
1993;December;-;8,3;8,3
1994;January;-;8,4;8,4
1994;February;-;8,5;8,4
1994;March;-;8,5;8,5
1994;April;-;8,6;8,5
1994;May;-;8,5;8,5
1994;June;-;8,5;8,5
1994;July;-;8,5;8,5
1994;August;-;8,4;8,4
1994;September;-;8,4;8,4
1994;October;-;8,3;8,3
1994;November;-;8,3;8,3
1994;December;-;8,2;8,2
1995;January;-;8,2;8,2
1995;February;-;8,1;8,2
1995;March;-;8,1;8,2
1995;April;-;8,1;8,1
1995;May;-;8,1;8,2
1995;June;-;8,1;8,2
1995;July;-;8,2;8,2
1995;August;-;8,3;8,2
1995;September;-;8,3;8,3
1995;October;-;8,4;8,3
1995;November;-;8,4;8,4
1995;December;-;8,5;8,5
1996;January;-;8,5;8,5
1996;February;-;8,6;8,6
1996;March;-;8,6;8,6
1996;April;-;8,7;8,7
1996;May;-;8,8;8,8
1996;June;-;8,8;8,9
1996;July;-;8,9;8,9
1996;August;-;9;9
1996;September;-;9,1;9,1
1996;October;-;9,2;9,2
1996;November;-;9,3;9,3
1996;December;-;9,4;9,4
1997;January;-;9,5;9,4
1997;February;-;9,5;9,5
1997;March;-;9,6;9,6
1997;April;-;9,7;9,6
1997;May;-;9,7;9,6
1997;June;-;9,7;9,7
1997;July;-;9,7;9,7
1997;August;-;9,7;9,7
1997;September;-;9,7;9,7
1997;October;-;9,7;9,7
1997;November;-;9,7;9,7
1997;December;-;9,7;9,7
1998;January;-;9,7;9,7
1998;February;-;9,7;9,6
1998;March;-;9,6;9,6
1998;April;-;9,6;9,5
1998;May;-;9,5;9,5
1998;June;-;9,4;9,4
1998;July;-;9,4;9,4
1998;August;-;9,3;9,3
1998;September;-;9,2;9,2
1998;October;-;9,1;9,2
1998;November;-;9,1;9,1
1998;December;-;9;9
1999;January;-;8,9;8,9
1999;February;-;8,8;8,8
1999;March;-;8,8;8,8
1999;April;-;8,7;8,7
1999;May;-;8,6;8,6
1999;June;-;8,6;8,6
1999;July;-;8,5;8,5
1999;August;-;8,5;8,5
1999;September;-;8,4;8,4
1999;October;-;8,4;8,3
1999;November;-;8,3;8,3
1999;December;-;8,2;8,2
2000;January;-;8,2;8,2
2000;February;-;8,1;8,1
2000;March;-;8,1;8,1
2000;April;-;8;8
2000;May;-;8;8
2000;June;-;8;8
2000;July;-;7,9;7,9
2000;August;-;7,9;7,9
2000;September;-;7,9;7,8
2000;October;-;7,8;7,8
2000;November;-;7,8;7,8
2000;December;-;7,7;7,7
2001;January;-;7,7;7,7
2001;February;-;7,7;7,7
2001;March;-;7,6;7,7
2001;April;-;7,6;7,7
2001;May;-;7,7;7,7
2001;June;-;7,7;7,7
2001;July;-;7,8;7,8
2001;August;-;7,8;7,8
2001;September;-;7,9;7,9
2001;October;-;8;7,9
2001;November;-;8;8
2001;December;-;8,1;8
2002;January;-;8,1;8,1
2002;February;-;8,2;8,2
2002;March;-;8,2;8,3
2002;April;-;8,3;8,3
2002;May;-;8,4;8,4
2002;June;-;8,5;8,5
2002;July;-;8,6;8,6
2002;August;-;8,7;8,8
2002;September;-;8,9;8,9
2002;October;-;9;9
2002;November;-;9,1;9,1
2002;December;-;9,2;9,2
2003;January;-;9,4;9,4
2003;February;-;9,5;9,5
2003;March;-;9,6;9,5
2003;April;-;9,7;9,6
2003;May;-;9,7;9,7
2003;June;-;9,8;9,7
2003;July;-;9,8;9,7
2003;August;-;9,8;9,8
2003;September;-;9,8;9,8
2003;October;-;9,8;9,8
2003;November;-;9,8;9,8
2003;December;-;9,8;9,9
2004;January;-;9,8;9,9
2004;February;-;10,1;9,9
2004;March;-;10,3;10
2004;April;-;10,3;10,1
2004;May;-;10,3;10,2
2004;June;-;10,3;10,3
2004;July;-;10,3;10,5
2004;August;-;10,4;10,6
2004;September;-;10,4;10,7
2004;October;-;10,5;10,8
2004;November;-;10,6;10,9
2004;December;-;10,7;11
2005;January;-;10,7;11,1
2005;February;-;10,9;11,2
2005;March;-;10,9;11,2
2005;April;-;11,2;11,3
2005;May;-;11,2;11,3
2005;June;-;11,2;11,3
2005;July;-;11,2;11,3
2005;August;-;11,2;11,2
2005;September;-;11,1;11,1
2005;October;-;11;11
2005;November;-;10,9;10,9
2005;December;-;10,7;10,8
2006;January;-;10,6;10,7
2006;February;-;10,5;10,6
2006;March;-;10,5;10,5
2006;April;-;10,3;10,3
2006;May;-;10,2;10,2
2006;June;-;10,1;10,1
2006;July;-;10;10
2006;August;-;9,9;9,9
2006;September;-;9,8;9,8
2006;October;-;9,7;9,7
2006;November;-;9,6;9,5
2006;December;-;9,4;9,4
2007;January;9,3;9,2;9,3
2007;February;9,6;9,1;9,2
2007;March;9,2;8,9;9
2007;April;8,6;8,8;8,9
2007;May;8,5;8,6;8,8
2007;June;8,3;8,6;8,7
2007;July;8,3;8,5;8,5
2007;August;8,4;8,4;8,4
2007;September;8,1;8,4;8,3
2007;October;7,8;8,3;8,2
2007;November;8,2;8,2;8,1
2007;December;8,2;8,1;8,1
2008;January;8,2;8;8
2008;February;8,1;7,9;7,8
2008;March;8;7,8;7,7
2008;April;7,9;7,7;7,6
2008;May;7,3;7,6;7,5
2008;June;7,8;7,4;7,4
2008;July;7,4;7,3;7,3
2008;August;7,2;7,1;7,3
2008;September;6,6;7;7,2
2008;October;6,4;7;7,2
2008;November;6,8;7;7,2
2008;December;7,4;7;7,2
2009;January;7,2;7,1;7,2
2009;February;7,8;7,1;7,2
2009;March;7,6;7,2;7,2
2009;April;7,4;7,3;7,2
2009;May;7,2;7,3;7,3
2009;June;7,2;7,4;7,3
2009;July;7,4;7,4;7,3
2009;August;7,5;7,4;7,3
2009;September;7,1;7,3;7,3
2009;October;6,7;7,2;7,2
2009;November;6,7;7,1;7,2
2009;December;6,9;7,1;7,1
2010;January;7,6;7;7
2010;February;7,6;7;6,9
2010;March;7,2;6,9;6,9
2010;April;6,8;6,8;6,8
2010;May;6,5;6,7;6,7
2010;June;6,3;6,5;6,6
2010;July;6,5;6,4;6,5
2010;August;6,2;6,4;6,4
2010;September;6,1;6,3;6,3
2010;October;6,1;6,3;6,2
2010;November;5,9;6,2;6,1
2010;December;6,1;6,1;6
2011;January;6,4;6;5,9
2011;February;6,2;5,9;5,9
2011;March;6,1;5,7;5,8
2011;April;5,5;5,6;5,7
2011;May;5,3;5,6;5,6
2011;June;5,6;5,5;5,6
2011;July;5,6;5,5;5,5
2011;August;5,6;5,4;5,4
2011;September;4,9;5,4;5,4
2011;October;4,8;5,3;5,3
2011;November;5,1;5,2;5,3
2011;December;5,1;5,2;5,2
2012;January;5,9;5,1;5,2
2012;February;5,5;5,1;5,2
2012;March;5,1;5,1;5,1
2012;April;4,9;5,1;5,1
2012;May;5,2;5,1;5,1
2012;June;4,9;5,1;5,1
2012;July;5,3;5,1;5,1
2012;August;5;5;5,1
2012;September;4,7;5;5,1
2012;October;4,8;5;5,1
2012;November;4,8;5;5
2012;December;4,9;5;5
2013;January;5,5;5,1;5
2013;February;5,6;5,1;5
2013;March;5,2;5;5
2013;April;4,9;5;5
2013;May;4,8;5;5
2013;June;5;4,9;5
2013;July;4,9;4,9;4,9
2013;August;4,7;4,9;4,9
2013;September;4,7;4,9;4,9
2013;October;4,8;4,8;4,9
2013;November;4,7;4,8;4,8
2013;December;4,6;4,9;4,8
2014;January;5,2;4,8;4,8
2014;February;5,1;4,8;4,8
2014;March;5,1;4,8;4,8
2014;April;4,8;4,8;4,8
2014;May;4,5;4,7;4,7
2014;June;4,6;4,7;4,7
2014;July;4,4;4,7;4,7
2014;August;4,7;4,7;4,7
2014;September;4,6;4,7;4,7
2014;October;4,5;4,7;4,6
2014;November;4,7;4,6;4,6
2014;December;4,3;4,6;4,6
2015;January;4,6;4,5;4,5
2015;February;5;4,5;4,5
2015;March;4,6;4,5;4,5
2015;April;4,6;4,4;4,4
2015;May;4,3;4,4;4,4
2015;June;4,3;4,4;4,4
2015;July;4,3;4,3;4,3
2015;August;4,1;4,3;4,3
2015;September;4;4,3;4,2
2015;October;4,1;4,3;4,2
2015;November;4,3;4,2;4,2
2015;December;4,2;4,2;4,2
2016;January;4,1;4,2;4,1
2016;February;4,4;4,1;4,1
2016;March;4,3;4,1;4,1
2016;April;4;4;4
2016;May;4;4;4
2016;June;4;4;4
2016;July;4;3,9;3,9
2016;August;3,9;3,9;3,9
2016;September;3,5;3,8;3,8
2016;October;3,7;3,8;3,8
2016;November;3,7;3,7;3,7
2016;December;3,3;3,7;3,7
2017;January;3,8;3,7;3,7
2017;February;4,1;3,7;3,7
2017;March;3,8;3,7;3,6
2017;April;3,9;3,6;3,6
2017;May;3,4;3,6;3,6
2017;June;3,4;3,6;3,5
2017;July;3,4;3,5;3,5
2017;August;3,6;3,5;3,5
2017;September;3,4;3,5;3,5
2017;October;3,5;3,5;3,4
2017;November;3,2;3,4;3,4
2017;December;3,3;3,4;3,4
2018;January;3,4;3,3;3,3
2018;February;3,6;3,3;3,3
2018;March;3,3;3,3;3,3
2018;April;3,3;3,3;3,3
2018;May;3,2;3,2;3,3
2018;June;3,3;3,2;3,2
2018;July;3,2;3,2;3,2
2018;August;3,2;3,2;3,2
2018;September;3,1;3,2;3,1
2018;October;3;3,1;3,1
2018;November;3;3,1;3,1
2018;December;2,9;3,1;3,1
2019;January;3,2;3,1;3
2019;February;3;3;3
2019;March;3,3;3;3
2019;April;3;3;3
2019;May;2,9;2,9;2,9
2019;June;2,9;2,9;2,9
2019;July;2,9;2,9;2,9
2019;August;3;2,9;3
2019;September;2,9;2,9;3
2019;October;2,8;3;3
2019;November;2,9;3,1;3,1
2019;December;2,9;3,1;3,2
2020;January;3,1;3,2;3,3
2020;February;3,5;3,3;3,3
2020;March;3,7;3,4;3,4
2020;April;3,6;3,5;3,5
2020;May;3,6;3,6;3,6
2020;June;3,8;3,7;3,7
2020;July;4;3,8;3,7
2020;August;3,9;3,9;3,8
2020;September;3,8;3,9;3,8
2020;October;3,5;3,9;3,9
2020;November;3,5;3,9;3,9
2020;December;3,5;3,9;3,9
2021;January;4,1;3,9;3,9
2021;February;4,2;3,9;3,8
2021;March;4;3,9;3,8
2021;April;3,9;3,8;3,7
2021;May;3,7;3,8;3,7
2021;June;3,6;3,6;3,6
2021;July;3,4;3,5;3,5
2021;August;3,4;3,4;3,5
2021;September;3,3;3,4;3,4
2021;October;3,1;3,3;3,3
2021;November;3,2;3,2;3,2
2021;December;3;3,2;3,2
2022;January;3,3;3,1;3,1
2022;February;3,2;3,1;3,1
2022;March;3;3,1;3,1
2022;April;3,2;3;3,1
2022;May;2,9;3;3,1
2022;June;2,9;3;3,1
2022;July;3,4;3;3
2022;August;3,1;3,1;3
2022;September;2,9;3,1;3
2022;October;3;3;3
2022;November;3;3;3
2022;December;2,9;3;3
2023;January;3,1;3;3
2023;February;3;2,9;3
2023;March;2,9;2,9;3
2023;April;3,1;2,9;3
2023;May;2,8;3;3
2023;June;3;3;3
2023;July;3;3;3
2023;August;3,2;3;3
2023;September;3;3,1;3
2023;October;3,2;3,1;3
2023;November;3,1;3,1;3
2023;December;2,9;3,1;3
2024;January;3,1;3,1;3,1
